,customer_id,gender,first_name,last_name,email,birthdate,creation_date,last_purchase_date,city
0,1715,Female,Anne,Moody,Anne.Moody@woodward-anderson.net,2003-02-18,2021-03-17,,Monroeport
1,13344,Female,Annette,Holland,Annette.Holland@dougherty.com,1981-08-06,2022-02-06,,Monroeport
2,1250,Female,Jessica,Walsh,Jessica.Walsh@orr.info,1984-09-23,2021-08-05,,Lake Matthewhaven
3,18426,Female,Christine,Hodge,Christine.Hodge@stone.net,1975-07-21,2022-10-28,,North Clifford
4,1700,Male,Paul,Jimenez,Paul.Jimenez@conrad.org,1995-03-01,2022-02-12,,New Samuelchester
5,11049,Female,Alison,Flores,Alison.Flores@walker.com,2002-06-20,2022-01-31,,East Marthamouth
6,8033,Male,James,Ramirez,James.Ramirez@foster.biz,1997-08-01,2022-12-11,,Lake Brandonstad
7,14295,Male,Benjamin,Kelley,Benjamin.Kelley@patterson-davis.com,1993-12-07,2022-01-05,,Katherinemouth
8,19582,Female,Caitlin,Matthews,Caitlin.Matthews@smith.com,1975-09-08,2022-05-15,,Monroeport
9,216,Female,Brenda,Gray,Brenda.Gray@martinez.org,1969-08-05,2022-06-19,,East Marthamouth
10,14690,Male,Kenneth,Davis,Kenneth.Davis@cameron.com,1958-03-07,2023-03-10,,Katherinemouth
11,1438,Male,Benjamin,Sanders,Benjamin.Sanders@payne-holden.net,1957-05-17,2022-07-12,,Brianside
12,4658,Male,Adam,Myers,Adam.Myers@ferguson.com,1981-08-24,2021-06-29,,Coxhaven
13,695,Female,Sylvia,Hoffman,Sylvia.Hoffman@martinez.com,1959-12-03,2021-12-16,,Katherinemouth
14,14111,Female,Kimberly,Leonard,Kimberly.Leonard@delgado.biz,1982-03-31,2022-09-19,,Jasonfurt
15,15377,Male,Brian,Savage,Brian.Savage@gray.com,1958-07-10,2022-03-03,,Coxhaven
16,9997,Female,Katelyn,Webb,Katelyn.Webb@young.com,1975-11-07,2023-02-01,,Lake Matthewhaven
17,15825,Male,Alejandro,Goodwin,Alejandro.Goodwin@hudson.info,1963-01-12,2022-09-13,,Graceville
18,19952,Female,Heather,Shaffer,Heather.Shaffer@macdonald-price.com,1996-03-22,2022-09-19,,Lake Brandonstad
19,13049,Female,Brandi,Thomas,Brandi.Thomas@miller-horton.org,1989-03-13,2023-02-14,,Brianside
20,17646,Female,Heather,Wiggins,Heather.Wiggins@scott-collins.com,1998-01-10,2022-04-23,,Lake Matthewhaven
21,13746,Female,Misty,Austin,Misty.Austin@cole.com,1965-02-14,2022-04-09,,Lake Matthewhaven
22,1043,Male,Matthew,Casey,Matthew.Casey@young-bell.net,1995-07-12,2022-05-23,,East Marthamouth
23,2706,Female,Donna,Smith,Donna.Smith@fleming-drake.com,1983-04-22,2021-06-06,,Brianside
24,8581,Male,Robert,Foster,Robert.Foster@george.org,1998-11-13,2021-06-06,,North Clifford
25,11040,Female,Stephanie,Grimes,Stephanie.Grimes@miller.org,1983-12-03,2021-09-13,,Katherinemouth
26,2401,Female,Erin,Thornton,Erin.Thornton@roy.com,1981-10-07,2022-08-25,,Hobury
27,18781,Female,Kristen,Dunn,Kristen.Dunn@freeman.com,2001-10-27,2021-12-04,,Lake Brandonstad
28,6195,Male,Joseph,Crawford,Joseph.Crawford@winters.com,1968-09-06,2021-05-22,,Graceville
29,11911,Male,Joseph,Smith,Joseph.Smith@freeman.com,1970-06-08,2022-06-23,,Katherinemouth
30,11531,Male,Travis,Braun,Travis.Braun@white.biz,1964-11-06,2021-10-16,,Hobury
31,17432,Male,Keith,Gill,Keith.Gill@guzman-miller.com,2002-04-27,2022-09-15,,Brianside
32,9427,Female,Amber,Brown,Amber.Brown@reynolds.net,1963-08-11,2021-09-17,,Coxhaven
33,7647,Female,Yolanda,Alvarado,Yolanda.Alvarado@brooks.info,1984-11-26,2022-09-14,,New Samuelchester
34,5038,Female,Angela,Smith,Angela.Smith@harper.com,1963-06-05,2022-04-17,,Hobury
35,15115,Male,James,Hayes,James.Hayes@stevens-berry.com,1962-10-17,2021-07-31,,Lake Brandonstad
36,4414,Female,Karen,White,Karen.White@crosby-ramirez.com,1993-12-04,2022-08-26,,Kellyton
37,688,Female,Lisa,Harris,Lisa.Harris@bush.net,1995-04-23,2022-07-09,,Coxhaven
38,11535,Female,Angela,Turner,Angela.Turner@nichols-salazar.com,1970-08-20,2023-03-05,,Hobury
39,13774,Male,Mark,Morris,Mark.Morris@silva.com,1965-01-06,2022-05-25,,Monroeport
40,2051,Female,Debra,Carroll,Debra.Carroll@rojas.biz,1981-04-17,2022-11-08,,East Marthamouth
41,2909,Male,Spencer,Andrade,Spencer.Andrade@powell.com,1996-07-02,2021-11-02,,Hobury
42,280,Female,Denise,Gill,Denise.Gill@rodriguez-williams.com,1989-03-03,2022-09-13,,Monroeport
43,17910,Female,Angela,Grant,Angela.Grant@macias-miles.com,1975-03-26,2021-09-14,,Lake Brandonstad
44,10566,Female,Rebecca,Lloyd,Rebecca.Lloyd@rubio.com,1968-05-13,2021-06-29,,East Stevechester
45,1082,Female,Mary,Hampton,Mary.Hampton@martinez.biz,1978-07-31,2023-03-11,,Hobury
46,11415,Male,William,Jones,William.Jones@mitchell.org,1986-08-02,2023-03-14,,Brianside
47,5369,Female,Christine,Paul,Christine.Paul@dyer-walker.info,1989-08-02,2022-02-14,,Monroeport
48,4718,Female,Valerie,Davis,Valerie.Davis@miller.com,1983-08-16,2021-06-28,,Brianside
49,7699,Male,Adam,Trujillo,Adam.Trujillo@bolton.com,1978-12-10,2022-05-11,,Graceville
50,1872,Female,Heather,Calhoun,Heather.Calhoun@patel.info,1967-02-03,2021-09-23,,Lake Matthewhaven
51,10032,Male,Justin,Johnson,Justin.Johnson@smith.org,1989-01-09,2021-06-24,,Katherinemouth
52,9541,Female,Molly,Johnson,Molly.Johnson@leach-huynh.com,1974-06-22,2022-02-06,,North Clifford
53,4144,Female,Shannon,Russell,Shannon.Russell@bailey-meza.com,1994-11-29,2022-11-02,,Lake Matthewhaven
54,3917,Male,James,Rojas,James.Rojas@taylor.com,1981-01-16,2022-07-30,,Coxhaven
55,19310,Female,Heidi,Hernandez,Heidi.Hernandez@brown.org,1960-10-21,2022-08-28,,Hobury
56,2033,Male,John,Williamson,John.Williamson@williams-kelley.biz,2002-08-17,2021-08-19,,East Stevechester
57,675,Female,Natasha,Becker,Natasha.Becker@cervantes-rubio.com,1962-08-17,2021-11-25,,East Stevechester
58,14783,Female,Meghan,Love,Meghan.Love@hill.org,1970-10-10,2021-05-09,,Hobury
59,925,Male,Jonathan,Santana,Jonathan.Santana@robertson.com,1987-09-15,2023-02-28,,Lake Matthewhaven
60,10644,Male,Alex,Cruz,Alex.Cruz@price.net,1989-07-08,2021-03-19,,North Clifford
61,16388,Male,Tyler,Russell,Tyler.Russell@kennedy-greene.com,2000-06-22,2022-03-30,,Lake Matthewhaven
62,12091,Male,Alan,Davis,Alan.Davis@rangel.com,1962-11-14,2022-03-10,,Katherinemouth
63,18683,Female,April,Hodges,April.Hodges@rangel.com,1965-08-26,2022-11-21,,Monroeport
64,8904,Male,Benjamin,Young,Benjamin.Young@clark-martin.com,1977-05-30,2022-09-11,,Kellyton
65,10553,Female,Natasha,Ewing,Natasha.Ewing@spears.info,1995-09-22,2022-05-31,,Hobury
66,1409,Male,Karl,Jones,Karl.Jones@williams.org,1976-08-17,2021-06-19,,Kellyton
67,16552,Male,Thomas,Wheeler,Thomas.Wheeler@armstrong.com,1988-08-12,2022-12-30,,Coxhaven
68,562,Male,John,Briggs,John.Briggs@schneider-adams.net,1982-11-15,2021-04-09,,Jasonfurt
69,18501,Male,William,Fritz,William.Fritz@hicks.com,2001-11-15,2022-08-06,,Monroeport
70,19664,Female,Deanna,Barnett,Deanna.Barnett@massey.com,1983-03-17,2022-09-04,,Monroeport
71,11178,Male,Calvin,Arnold,Calvin.Arnold@weeks-wagner.net,1977-01-30,2022-10-14,,Katherinemouth
72,17504,Male,Robert,Rhodes,Robert.Rhodes@martin.info,1990-11-28,2022-03-14,,Coxhaven
73,15858,Female,Sarah,Wilson,Sarah.Wilson@arnold.com,1964-11-11,2021-07-18,,East Marthamouth
74,13053,Male,Dale,Harper,Dale.Harper@heath-rice.com,1959-12-14,2021-08-23,,Jasonfurt
75,18938,Female,Cassandra,Davidson,Cassandra.Davidson@parker-pham.com,2000-07-15,2023-03-12,,North Clifford
76,12970,Male,Stephen,Perry,Stephen.Perry@perez.com,1970-12-01,2021-11-22,,Graceville
77,16425,Male,James,Rodriguez,James.Rodriguez@crawford-adams.com,1991-01-06,2022-09-30,,Lambertstad
78,195,Female,Carrie,Ryan,Carrie.Ryan@ruiz.biz,2001-12-23,2021-10-07,,North Clifford
79,19156,Male,Jeremy,Martin,Jeremy.Martin@knight-mills.com,1972-08-15,2022-08-17,,East Marthamouth
80,1718,Female,Janet,Miller,Janet.Miller@george.com,1957-08-28,2022-11-21,,Graceville
81,15098,Female,Courtney,Webb,Courtney.Webb@leblanc.com,1975-04-14,2022-06-17,,Brianside
82,13787,Female,Penny,Villarreal,Penny.Villarreal@wallace-cooper.info,1977-06-11,2021-11-19,,North Clifford
83,7097,Female,Robin,Fernandez,Robin.Fernandez@alexander.com,1963-07-14,2022-07-07,,North Clifford
84,6306,Male,Daniel,Brown,Daniel.Brown@holland.info,1962-02-04,2022-08-25,,Hobury
85,2046,Female,Sarah,Jones,Sarah.Jones@campbell.com,2003-11-22,2023-01-28,,Hobury
86,16399,Female,Annette,Mills,Annette.Mills@johnson.com,1987-10-12,2021-08-20,,Graceville
87,5730,Female,Emily,Hernandez,Emily.Hernandez@cameron.com,1990-07-17,2021-12-02,,North Clifford
88,2266,Female,Sabrina,Fisher,Sabrina.Fisher@martin-lewis.info,2001-11-23,2022-09-15,,Monroeport
89,8697,Female,Kathryn,Berg,Kathryn.Berg@hayes-reed.com,2003-02-20,2021-12-31,,Lake Brandonstad
90,12471,Male,Paul,Hall,Paul.Hall@mitchell.com,1971-06-24,2022-10-15,,Lambertstad
91,12727,Female,Whitney,Jackson,Whitney.Jackson@walker.com,1964-03-14,2022-07-01,,Monroeport
92,15255,Female,Kelsey,Lee,Kelsey.Lee@berg.org,1988-11-09,2021-11-08,,Kellyton
93,14595,Female,Megan,Lewis,Megan.Lewis@baldwin.com,1960-04-09,2022-09-13,,Graceville
94,14392,Female,Jennifer,Kline,Jennifer.Kline@stanton.info,1998-05-22,2021-03-27,,Kellyton
95,14925,Female,Michelle,Williams,Michelle.Williams@burgess-whitehead.com,2004-12-17,2022-11-17,,North Clifford
96,1598,Male,Thomas,Clark,Thomas.Clark@barber.org,1994-03-22,2022-12-11,,Monroeport
97,652,Female,Sheila,Ross,Sheila.Ross@robinson.com,1974-07-13,2022-03-25,,Brianside
98,16267,Male,Matthew,Baird,Matthew.Baird@soto.com,1984-05-11,2021-07-02,,East Stevechester
99,17534,Male,Matthew,Stewart,Matthew.Stewart@wade-george.com,1979-12-03,2021-10-05,,East Stevechester
100,17757,Male,Kevin,Francis,Kevin.Francis@brewer.biz,1992-03-21,2021-03-30,,North Clifford
101,12116,Male,Scott,Thomas,Scott.Thomas@chandler.com,1968-10-22,2022-12-08,,Lambertstad
102,1053,Female,Lisa,Martin,Lisa.Martin@wright-barnett.com,1975-06-21,2022-12-21,,Lake Matthewhaven
103,19706,Female,Michelle,Flowers,Michelle.Flowers@vance.net,1973-12-07,2021-12-17,,East Marthamouth
104,19008,Male,Richard,Miller,Richard.Miller@li.com,1958-10-06,2021-12-22,,North Clifford
105,12664,Male,David,Santos,David.Santos@henson.org,1969-12-05,2022-06-07,,East Marthamouth
106,2052,Female,Roberta,Nelson,Roberta.Nelson@giles.com,1972-04-05,2022-09-08,,Jasonfurt
107,5505,Female,Alexandra,Silva,Alexandra.Silva@larson-duran.com,1981-05-07,2022-03-05,,North Clifford
